Catégorie;Code;Dénomination;Unité;Déboursé HT (€);Note
"Gros Oeuvre";"GO";"Démolition de plots béton de support de surpresseur";"Ens.";"2000";""
"Gros Oeuvre";"Gros oeuvre";"Démotition et évacuation mur existant compris fondation";"F";"1310.4";""
"Gros Oeuvre";"GO";"Dépose complète du portail coulissant, portillon et clôture existants sur emprise du projet et évcuation en décharge spécialisée.";"Ens.";"50.5";""
"Gros Oeuvre";"GO";"Dépose de cloison et porte de fermeture des toilettes, et du bâti évier et évacuation en décharge spécialisée";"Ens.";"78";""
"Gros Oeuvre";"GO";"Dépose des portes tôles des locaux V.O. (portes 1 vantail) et local ménage (porte 2 vantaux) et évacuation en décharges spécialisées";"U";"48.09";""
"Gros Oeuvre";"Gros oeuvre";"Dépose et évacuation de la fosse sceptique";"F";"295";""
"Gros Oeuvre";"GO";"Enduit ciment lissé à la taloche sur deux faces";"m2";"750";""
"Gros Oeuvre";"Gros oeuvre";"Enduit d'imperméabilisation ";"m²";"20.7";""
"Gros Oeuvre";"GO";"Epandage de terre végétale, avec terre mise en dépôt lors des décapages de sol prévus  article ‘Décapage de la terre végétale’ (1.3.1.) du présent lot.
La répartition de la terre sera faite suivant les prescriptions du Maître d’Œuvre.";"Ens";"1";""
"Gros Oeuvre";"Gros oeuvre";"Evacuation au fossé existant";"F";"590";""
"Gros Oeuvre";"GO";" Evacuation des déblais excédentaires de toute nature";"Ens";"1";""
"Gros Oeuvre";"Gros œuvre";"Evacuations de terre avec dumper";"M3";"68.16";""
"Gros Oeuvre";"GO";"Fouilles en puits à la tarière ";"U";"1";""
"Gros Oeuvre";"GO";"Fouilles en tranchées, descendues sur bon sol et hors gel, suivant étude ingénieur béton.";"ml";"1";""
"Gros Oeuvre";"Gros oeuvre";"Fourniture et pose de caniveau à grille ";"ml";"135";""
"Gros Oeuvre";"Gros oeuvre";"Fourniture et pose de chapeau béton gris plat";"ml";"45";""
"Gros Oeuvre";"Gros oeuvre";"Fourniture et pose de delta MS ";"m²";"18.9";""
"Gros Oeuvre";"Gros oeuvre";"Fourniture et pose de géotextile";"m²";"8";""
"Gros Oeuvre";"Gros oeuvre";"Fourniture et pose de natte drainante";"m²";"70";""
"Gros Oeuvre";"Gros oeuvre";"Fourniture et pose de regard à grille ";"U";"300";""
"Gros Oeuvre";"GO";"Fourniture et pose de trappe CF1/2h 600x600 mm";"U";"24";""
"Gros Oeuvre";"Gros oeuvre";"Fourniture et pose d'IPN";"ml";"125";""
"Gros Oeuvre";"Gros oeuvre";"Fourniture et pose d'un drain agricole en pied de mur ";"ml";"36.9";""
"Gros Oeuvre";"GO";"Fourniture et pose d'une porte bois CF 1h00 équipée d'un ferme-porte et compris toute quincaillerie, serrure à condamnation, béquilles et platines et butoir.";"U";"65";""
"Gros Oeuvre";"GO";"Fourreaux en PVC-U de 45 x 1,8 avec aiguille de tirage, fournis et posés en extérieur dans tranchée avec enrobage de sable et grillage avertisseur.";"ml";"1";""
"Gros Oeuvre";"Gros oeuvre";"Fourreaux sous dallage";"F";"328.5";""
"Gros Oeuvre";"GO";"Gravillonnage, pour marquage tactile composé de gravillons fixés dans résine. Epaisseur inférieure à 10 mm, coloris au choix du maitre d’oeuvre.";"U";"110";""
"Gros Oeuvre";"GO";"Longrines coulées en place";"ml";"20.17";""
"Gros Oeuvre";"Gros oeuvre";"Maçonnerie B40 ";"m²";"66";""
"Gros Oeuvre";"Gros oeuvre";"Mise en œuvre de couche de forme";"m²";"25";""
"Gros Oeuvre";"";"Mise en place de matériel pour travail en hauteur";"F";"450";""
"Gros Oeuvre";"Gros oeuvre";"Mortier de réparation ";"m²";"28";""
"Gros Oeuvre";"GO";"Nappe matériaux non tissés ‘géotextile’, type ‘Bidim’ ou équivalent";"m2";"141";""
"Gros Oeuvre";"GO";"Percement dans maçonnerie pour création d'une réservation 60x40 cm pour la ventilation haute des locaux V.O.";"U";"430";""
"Gros Oeuvre";"Gros oeuvre";"Plancher poutrelle hourdis béton";"m²";"94.5";""
"Gros Oeuvre";"Gros oeuvre";"Plancher poutrelle hourdis polystèrene";"m²";"94.5";""
"Gros Oeuvre";"Gros oeuvre";"Plus-value bande noyée";"F";"275";""
"Gros Oeuvre";"Gros oeuvre";"Plus-value BRH";"F";"1071";""
"Gros Oeuvre";"Gros oeuvre";"Plus-value chainage périphérique";"ml";"21.6";""
"Gros Oeuvre";"Gros oeuvre";"Plus-value coffrage de rive";"F";"474";""
"Gros Oeuvre";"Gros oeuvre";"Pose et raccordement fosse sceptique compris enrobage grains de riz";"F";"845";""
"Gros Oeuvre";"Gros oeuvre";"Poteau BA  30 x 30 x 180 cm ht";"U";"525";""
"Gros Oeuvre";"Gros oeuvre";"Poutre BA  70 x 60 cm ht";"m3";"725";""
"Gros Oeuvre";"GO";"Puits en béton armé pour ancrage potelets métalliques de clôture et portillons";"U";"19.74";""
"Gros Oeuvre";"Gros oeuvre";"PV arase";"ml";"19.8";""
"Gros Oeuvre";"Gros oeuvre";"PV coulage au longue distance";"F";"750";""
"Gros Oeuvre";"Gros œuvre";"PV coulage au longue distance";"F";"680";""
"Gros Oeuvre";"Gros œuvre";"PV planelle brique RP =1,00";"ML";"15.36";""
