Catégorie;Code;Dénomination;Unité;Déboursé HT (€);Note
"Clôture";"Serrurerie";"Fourniture et pose de lattes d'occultation en composite en remplissage des panneaux rigides, ht=1.73 m, comprenant lattes intémédiaires et lattes d'extrémités, réglettes de fixation, lisse haute et triangles aluminium ainsi que toutes sujétions de mise en oeuvre.";"ml";"15";""
"Clôture";"";" Fourniture et pose de lattes d'occultation en PVC en remplissage des panneaux rigides, ht=1.53 m, comprenant lattes intermédiaires et lattes d'extrémités, réglettes de fixation, lisse haute et triangles aluminium";"ml";"283.14";""
"Clôture";"Serrurerie";"Fourniture et pose de panneau de protection et d’habillage (de type Decochoc de SPM) en PVC rigide antibactérien, classé M1 (Bs2d0) et coloré dans la masse";"U";"13";""
"Clôture";"";"Fourniture et pose de panneaux de clôture rigide métallique en fils d'acier soudés galvanisés plastifiés de 5 mm maille de 200 x 50 mm, ht=1.53 m,largeur de panneau 2,50 m compris pose sur poteaux à clips et toutes sujétion";"U";"167.31";""
"Clôture";"Serrurerie";"Fourniture et pose de panneaux de clôture rigide métallique en fils d'acier soudés galvanisés plastifiés de 5 mm maille de 200 x 50 mm, ht=1.73 m,largeur de panneau 2,50 m compris pose sur poteaux à clips et toutes sujétion.";"U";"20";""
"Clôture";"Serrurerie";"Fourniture et pose de panneaux de clôture rigide métallique en fils d'acier soudés galvanisés plastifiés de 5 mm maille de 200 x 50 mm, ht=1.73 m,largeur de panneau 2,50 m compris pose sur poteaux à clips et toutes sujétion.";"U";"25";""
"Clôture";"Cloture";"Fourniture et pose de panneaux de clôture rigide métallique ht=1.73 ml largeur de panneau 2,50 m";"ml";"35";""
"Clôture";"Serrurerie";"Fourniture et pose de poteaux métalliques à clips en tôle d'acier galvanisé plastifiés ht=1.23 m, entraxes 2,52m, section 66 x 50 mm compris platines d'ancrage, bouchon et crochets.";"U";"23";""
"Clôture";"";" Fourniture et pose de poteaux métalliques à clips en tôle d'acier galvanisé plastifiés ht=1.53 m, entraxes 2,52m, section 66 x 50 mm compris platines d'ancrage, bouchon et crochets.";"U";"146.72";""
"Clôture";"Serrurerie";"Fourniture et pose de poteaux métalliques à clips en tôle d'acier galvanisé plastifiés ht=1.73 m, entraxes 2,52m, section 66 x 50 mm compris platines d'ancrage, bouchon et crochets.";"U";"36";""
"Clôture";"Cloture";"Pose de cloture existantes ";"ml";"45";""
"Etanchéité";"";"Boite à eau alu";"U";"95.5";""
"Etanchéité";"";"Dalle béton ép entre 6 et 10 cm";"m²";"60";""
"Etanchéité";"";"Départ EP/TP par moignon et platine Alu";"U";"95.5";""
"Etanchéité";"";"deuxième couche etanchéitié";"m²";"21";""
"Etanchéité";"";"Ecran de désolidarisation";"m²";"13";""
"Etanchéité";"";"Première couche etanchéitié";"m²";"25";""
"Etanchéité";"";"Relevé auto protégé";"ml";"29";""
"Villa";"VILLA GO";"Amené et repli";"Ens";"2400";""
"Villa";"VILLA GO";"Appuis BA";"ml";"78";""
"Villa";"VILLA MEXT";"Baies vitrée ALUMINIUM VR";"U";"1890";""
"Villa";"VILLA CHARPENTE";"Bandeau PVC";"m3";"236.17";""
"Villa";"VILLA GO";"Bande de redressement";"U";"65";""
"Villa";"VILLA GO";"Béton fondations";"m3";"236.17";""
"Villa";"VILLA GO";"Calibric TH VPP";"m2";"48.09";""
"Villa";"VILLA CHARPENTE";"Charpente type fermette industrielle ";"m²";"50.5";""
"Villa";"VILLA CHARPENTE";"Couverture en tuile à emboitement";"m²";"38";""
"Villa";"VILLA GO";"Décapage TV ép. 30 cm stocké";"m3";"7.35";""
"Villa";"VILLA ZINGUERIE";"Descente EP en Aluminium";"ml";"25";""
"Villa";"VILLA GO";"Enduit ciment";"m2";"24";""
"Villa";"VILLA GO";"Evacuations de terre ";"m3";"22";""
"Villa";"VILLA GO";"Fourreaux sous dallage";"Ens";"760";""
"Villa";"VILLA ZINGUERIE";"Gouttière en aluminium";"ml";"23.5";""
"Villa";"VILLA GO";"Grille de défence ";"U";"110";""
"Villa";"VILLA GO";"Gros béton fondation";"m3";"170.5";""
"Villa";"VILLA GO";"Implantation";"Ens";"1500";""
"Villa";"VILLA CHARPENTE";"Lambris PVC";"m²";"38";""
"Villa";"VILLA GO";"Maçonnerie B40 VPP";"m2";"41";""
"Villa";"VILLA ZINGUERIE";"Naissance en aluminium";"U";"5.5";""
"Villa";"VILLA ZINGUERIE";"Noue";"ml";"38.5";""
"Villa";"VILLA MEXT";"Ouvrant PVC oscillo-battant 75x40 ";"U";"359";""
"Villa";"VILLA MEXT";"Ouvrant PVC oscillo-battant 75x60";"U";"323";""
"Villa";"VILLA MEXT";"Ouvrant PVC oscillo-battant 95x60 ";"U";"457";""
"Villa";"VILLA MEXT";"Ouvrant PVC + VR 125x120";"U";"567";""
"Villa";"VILLA CHARPENTE";"Planche de rive PVC";"ml";"35";""
"Villa";"VILLA GO";"Plancher vide sanitaire isolant ";"m²";"141";""
"Villa";"VILLA GO";"Porte de garage (Suivant choix Client)";"U";"1500";""
"Villa";"VILLA GO";"Porte d'entrée (Suivant choix Client)";"U";"2000";""
"Villa";"VILLA GO";"Porte de service (Suivant choix Client)";"U";"430";""
"Villa";"VILLA GO";"Poteau BA (Suivant plan béton)";"m3";"861.31";""
"Villa";"VILLA GO";"P.V. arase";"ml";"34";""
"Villa";"VILLA CHARPENTE";"PV ecran sous toiture ";"Ens";"5.5";""
"Villa";"VILLA GO";"PV finition lisse";"m2";"16";""
"Villa";"VILLA GO";"P.V. planelle brique RP=1,00";"ml";"10.66";""
"Villa";"VILLA GO";"P.V. raidisseur horizontal";"ml";"19.74";""
"Villa";"VILLA GO";"P.V. raidisseur vertical";"ml";"20.17";""
"Villa";"VILLA GO";"Ragréage fintions";"ens";"750";""
"Villa";"VILLA GO";"Regard de tringlage";"U";"108";""
"Villa";"VILLA GO";"Remblais périphérique avec terre stockee";"m3";"9";""
"Villa";"VILLA GO";"Réseaux sous dallages";"ml";"38";""
"Villa";"VILLA GO";"Seuil BA";"ml";"48";""
"Villa";"VILLA GO";"Soubassement B80";"m2";"50.78";""
"Villa";"VILLA GO";"Terrassement fondations";"m3";"49.29";""
"Villa";"VILLA CHARPENTE";"Tuile à douille ";"ml";"32";""
"Villa";"VILLA CHARPENTE";"Tuile chatière ";"U";"30";""
"Villa";"VILLA CHARPENTE";"Tuile faitage ";"m3";"7.35";""
