Code;Catégorie;Dénomination;Unité;Prix HT;Temps estimé (min);Description
CLO-002;Clôture;Fourniture et pose de panneaux de clôture rigide métallique en fils d'acier soudés galvanisés plastifiés de 5 mm maille de 200 x 50 mm, ht=1.53 m,largeur de panneau 2,50 m compris pose sur poteaux à clips et toutes sujétion;U;167.31;120;
Serrurerie;Clôture;Fourniture et pose de panneaux de clôture rigide métallique en fils d'acier soudés galvanisés plastifiés de 5 mm maille de 200 x 50 mm, ht=1.73 m,largeur de panneau 2,50 m compris pose sur poteaux à clips et toutes sujétion.;U;20;120;
Serrurerie;Clôture;Fourniture et pose de panneaux de clôture rigide métallique en fils d'acier soudés galvanisés plastifiés de 5 mm maille de 200 x 50 mm, ht=1.73 m,largeur de panneau 2,50 m compris pose sur poteaux à clips et toutes sujétion.;U;25;120;
Cloture;Clôture;Fourniture et pose de panneaux de clôture rigide métallique ht=1.73 ml largeur de panneau 2,50 m;ml;35;45;
Serrurerie;Clôture;Fourniture et pose de poteaux métalliques à clips en tôle d'acier galvanisé plastifiés ht=1.23 m, entraxes 2,52m, section 66 x 50 mm compris platines d'ancrage, bouchon et crochets.;U;23;120;
CLO-003;Clôture;Fourniture et pose de poteaux métalliques à clips en tôle d'acier galvanisé plastifiés ht=1.53 m, entraxes 2,52m, section 66 x 50 mm compris platines d'ancrage, bouchon et crochets.;U;146.72;120;
Serrurerie;Clôture;Fourniture et pose de poteaux métalliques à clips en tôle d'acier galvanisé plastifiés ht=1.73 m, entraxes 2,52m, section 66 x 50 mm compris platines d'ancrage, bouchon et crochets.;U;36;120;
Cloture;Clôture;Pose de cloture existantes;ml;45;45;
ETA-001;Etanchéité;Boite à eau alu;U;95.5;120;
ETA-002;Etanchéité;Dalle béton ép entre 6 et 10 cm;m²;60;90;
ETA-003;Etanchéité;Départ EP/TP par moignon et platine Alu;U;95.5;120;
ETA-004;Etanchéité;deuxième couche etanchéitié;m²;21;90;
ETA-005;Etanchéité;Ecran de désolidarisation;m²;13;90;
ETA-006;Etanchéité;Première couche etanchéitié;m²;25;90;
ETA-007;Etanchéité;Relevé auto protégé;ml;29;45;
VILLA-GO;Villa;Amené et repli;Ens;2400;60;
VILLA-GO;Villa;Appuis BA;ml;78;45;
VILLA-MEXT;Villa;Baies vitrée ALUMINIUM VR;U;1890;120;
VILLA-CHARPENTE;Villa;Bandeau PVC;m3;236.17;60;
VILLA-GO;Villa;Bande de redressement;U;65;120;
VILLA-GO;Villa;Béton fondations;m3;236.17;60;
VILLA-GO;Villa;Calibric TH VPP;m2;48.09;90;
VILLA-CHARPENTE;Villa;Charpente type fermette industrielle;m²;50.5;90;
VILLA-CHARPENTE;Villa;Couverture en tuile à emboitement;m²;38;90;
VILLA-GO;Villa;Décapage TV ép. 30 cm stocké;m3;7.35;60;
VILLA-ZINGUERIE;Villa;Descente EP en Aluminium;ml;25;45;
VILLA-GO;Villa;Enduit ciment;m2;24;90;
VILLA-GO;Villa;Evacuations de terre;m3;22;60;
VILLA-GO;Villa;Fourreaux sous dallage;Ens;760;60;
VILLA-ZINGUERIE;Villa;Gouttière en aluminium;ml;23.5;45;
VILLA-GO;Villa;Grille de défence;U;110;120;
VILLA-GO;Villa;Gros béton fondation;m3;170.5;60;
VILLA-GO;Villa;Implantation;Ens;1500;60;
VILLA-CHARPENTE;Villa;Lambris PVC;m²;38;90;
VILLA-GO;Villa;Maçonnerie B40 VPP;m2;41;90;
VILLA-ZINGUERIE;Villa;Naissance en aluminium;U;5.5;120;
VILLA-ZINGUERIE;Villa;Noue;ml;38.5;45;
VILLA-MEXT;Villa;Ouvrant PVC oscillo-battant 75x40;U;359;120;
VILLA-MEXT;Villa;Ouvrant PVC oscillo-battant 75x60;U;323;120;
VILLA-MEXT;Villa;Ouvrant PVC oscillo-battant 95x60;U;457;120;
VILLA-MEXT;Villa;Ouvrant PVC + VR 125x120;U;567;120;
VILLA-CHARPENTE;Villa;Planche de rive PVC;ml;35;45;
VILLA-GO;Villa;Plancher vide sanitaire isolant;m²;141;90;
VILLA-GO;Villa;Porte de garage (Suivant choix Client);U;1500;120;
VILLA-GO;Villa;Porte d'entrée (Suivant choix Client);U;2000;120;
VILLA-GO;Villa;Porte de service (Suivant choix Client);U;430;120;
VILLA-GO;Villa;Poteau BA (Suivant plan béton);m3;861.31;60;
VILLA-GO;Villa;P.V. arase;ml;34;45;
VILLA-CHARPENTE;Villa;PV ecran sous toiture;Ens;5.5;60;
VILLA-GO;Villa;PV finition lisse;m2;16;90;
VILLA-GO;Villa;P.V. planelle brique RP=1,00;ml;10.66;45;
VILLA-GO;Villa;P.V. raidisseur horizontal;ml;19.74;45;
VILLA-GO;Villa;P.V. raidisseur vertical;ml;20.17;45;
VILLA-GO;Villa;Ragréage fintions;ens;750;60;
VILLA-GO;Villa;Regard de tringlage;U;108;120;
VILLA-GO;Villa;Remblais périphérique avec terre stockee;m3;9;60;
VILLA-GO;Villa;Réseaux sous dallages;ml;38;45;
VILLA-GO;Villa;Seuil BA;ml;48;45;
VILLA-GO;Villa;Soubassement B80;m2;50.78;90;
VILLA-GO;Villa;Terrassement fondations;m3;49.29;60;
VILLA-CHARPENTE;Villa;Tuile à douille;ml;32;45;
VILLA-CHARPENTE;Villa;Tuile chatière;U;30;120;
VILLA-CHARPENTE;Villa;Tuile faitage;m3;7.35;60;
