Code;Catégorie;Dénomination;Unité;Prix HT;Temps estimé (min);Description
GO;Gros Oeuvre;Démolition de mur de rebouchage épaisseur 20 cm, pour création de porte;m2;108;90;
GO;Gros Oeuvre;Démolition de plots béton de support de surpresseur;Ens.;2000;60;
Gros-oeuvre;Gros Oeuvre;Démotition et évacuation mur existant compris fondation;F;1310.4;180;
GO;Gros Oeuvre;Dépose complète du portail coulissant, portillon et clôture existants sur emprise du projet et évcuation en décharge spécialisée.;Ens.;50.5;60;
GO;Gros Oeuvre;Dépose de cloison et porte de fermeture des toilettes, et du bâti évier et évacuation en décharge spécialisée;Ens.;78;60;
GO;Gros Oeuvre;Dépose des portes tôles des locaux V.O. (portes 1 vantail) et local ménage (porte 2 vantaux) et évacuation en décharges spécialisées;U;48.09;120;
Gros-oeuvre;Gros Oeuvre;Dépose et évacuation de la fosse sceptique;F;295;180;
GO;Gros Oeuvre;Enduit ciment lissé à la taloche sur deux faces;m2;750;90;
Gros-oeuvre;Gros Oeuvre;Enduit d'imperméabilisation;m²;20.7;90;
GO;Gros Oeuvre;Epandage de terre végétale, avec terre mise en dépôt lors des décapages de sol prévus  article ‘Décapage de la terre végétale’ (1.3.1.) du présent lot.;u;0;60;
LA-001;"La répartition de la terre sera faite suivant les prescriptions du Maître d’Œuvre.;Ens;1;";;u;0;60;
Gros-oeuvre;Gros Oeuvre;Evacuation au fossé existant;F;590;180;
GO;Gros Oeuvre;Evacuation des déblais excédentaires de toute nature;Ens;1;60;
Gros-œuvre;Gros Oeuvre;Evacuations de terre avec dumper;M3;68.16;60;
GO;Gros Oeuvre;Fouilles en puits à la tarière;U;1;120;
GO;Gros Oeuvre;Fouilles en tranchées, descendues sur bon sol et hors gel, suivant étude ingénieur béton.;ml;1;45;
Gros-oeuvre;Gros Oeuvre;Fourniture et pose de caniveau à grille;ml;135;45;
Gros-oeuvre;Gros Oeuvre;Fourniture et pose de chapeau béton gris plat;ml;45;45;
Gros-oeuvre;Gros Oeuvre;Fourniture et pose de delta MS;m²;18.9;90;
Gros-oeuvre;Gros Oeuvre;Fourniture et pose de géotextile;m²;8;90;
Gros-oeuvre;Gros Oeuvre;Fourniture et pose de natte drainante;m²;70;90;
Gros-oeuvre;Gros Oeuvre;Fourniture et pose de regard à grille;U;300;120;
GO;Gros Oeuvre;Fourniture et pose de trappe CF1/2h 600x600 mm;U;24;120;
Gros-oeuvre;Gros Oeuvre;Fourniture et pose d'IPN;ml;125;45;
Gros-oeuvre;Gros Oeuvre;Fourniture et pose d'un drain agricole en pied de mur;ml;36.9;45;
GO;Gros Oeuvre;Fourniture et pose d'une porte bois CF 1h00 équipée d'un ferme-porte et compris toute quincaillerie, serrure à condamnation, béquilles et platines et butoir.;U;65;120;
GO;Gros Oeuvre;Fourreaux en PVC-U de 45 x 1,8 avec aiguille de tirage, fournis et posés en extérieur dans tranchée avec enrobage de sable et grillage avertisseur.;ml;1;45;
Gros-oeuvre;Gros Oeuvre;Fourreaux sous dallage;F;328.5;180;
GO;Gros Oeuvre;Gravillonnage, pour marquage tactile composé de gravillons fixés dans résine. Epaisseur inférieure à 10 mm, coloris au choix du maitre d’oeuvre.;U;110;120;
GO;Gros Oeuvre;Longrines coulées en place;ml;20.17;45;
Gros-oeuvre;Gros Oeuvre;Maçonnerie B40;m²;66;90;
Gros-oeuvre;Gros Oeuvre;Mise en œuvre de couche de forme;m²;25;90;
GRO-001;Gros Oeuvre;Mise en place de matériel pour travail en hauteur;F;450;180;
Gros-oeuvre;Gros Oeuvre;Mortier de réparation;m²;28;90;
GO;Gros Oeuvre;Nappe matériaux non tissés ‘géotextile’, type ‘Bidim’ ou équivalent;m2;141;90;
GO;Gros Oeuvre;Percement dans maçonnerie pour création d'une réservation 60x40 cm pour la ventilation haute des locaux V.O.;U;430;120;
Gros-oeuvre;Gros Oeuvre;Plancher poutrelle hourdis béton;m²;94.5;90;
Gros-oeuvre;Gros Oeuvre;Plancher poutrelle hourdis polystèrene;m²;94.5;90;
Gros-oeuvre;Gros Oeuvre;Plus-value bande noyée;F;275;180;
Gros-oeuvre;Gros Oeuvre;Plus-value BRH;F;1071;180;
Gros-oeuvre;Gros Oeuvre;Plus-value chainage périphérique;ml;21.6;45;
Gros-oeuvre;Gros Oeuvre;Plus-value coffrage de rive;F;474;180;
Gros-oeuvre;Gros Oeuvre;Pose et raccordement fosse sceptique compris enrobage grains de riz;F;845;180;
Gros-oeuvre;Gros Oeuvre;Poteau BA  30 x 30 x 180 cm ht;U;525;120;
Gros-oeuvre;Gros Oeuvre;Poutre BA  70 x 60 cm ht;m3;725;60;
GO;Gros Oeuvre;Puits en béton armé pour ancrage potelets métalliques de clôture et portillons;U;19.74;120;
Gros-oeuvre;Gros Oeuvre;PV arase;ml;19.8;45;
Gros-oeuvre;Gros Oeuvre;PV coulage au longue distance;F;750;180;
Gros-œuvre;Gros Oeuvre;PV coulage au longue distance;F;680;180;
Gros-œuvre;Gros Oeuvre;PV planelle brique RP =1,00;ML;15.36;45;
Gros-œuvre;Gros Oeuvre;PV raidisseur horizontal;ML;26.88;45;
Gros-œuvre;Gros Oeuvre;PV raidisseur vertical;ML;24;45;
Gros-œuvre;Gros Oeuvre;PV raidisseur Vertical;ML;24;45;
Gros-œuvre;Gros Oeuvre;Raccordement au réseau principal;F;784;180;
Gros-oeuvre;Gros Oeuvre;Raccordement du drain au réseau existant;F;310.5;180;
Gros-œuvre;Gros Oeuvre;Ragréage finitions et sous enduits;F;360;180;
Gros-oeuvre;Gros Oeuvre;Raidisseur BA;ml;25.2;45;
GO;Gros Oeuvre;Régalage de terre végétale. Travaux comprenant le nivellement du terrain, le cassage des mottes de terre et le d’épierrement suivant besoins, pour obtenir un profil régulier.;Ens;1;60;
Gros-œuvre;Gros Oeuvre;Remblaie périphérique;F;247;180;
Gros-oeuvre;Gros Oeuvre;Remblai périphérique en matériaux noble;F;789.75;180;
Gros-oeuvre;Gros Oeuvre;Remblais des déblais inertes stockés;m3;30;60;
GO;Gros Oeuvre;Repliement du matériel, nettoyage final et évacuation des gravats et déchets en décharges spécialisées, DOE, Notes de calculs, Plans de récolement;F;5.5;180;
GO;Gros Oeuvre;Reprise des feuillures suite à dépose des portes et selon caractéristiques attendues par le lot Menuiseries extérieures - Serrurerie;Ens.;41;60;
Gros-oeuvre;Gros Oeuvre;Reprise du jambage suite dépose;U;100;120;
Gros-œuvre;Gros Oeuvre;Réseaux sous dallage;F;520;180;
Gros-œuvre;Gros Oeuvre;Soubassement B80 ht 40 cm;M²;55.68;90;
Gros-oeuvre;Gros Oeuvre;Sous-enduit de finition extérieur;m²;22.5;90;
GO;Gros Oeuvre;Taille et/ou arrachage et évacuation des arbustes et remise en plantation d'arbustes pour mise en place des clôture rigides;Ens;1;60;
Gros-oeuvre;Gros Oeuvre;Terrassement dallage garage;F;1485;180;
Gros-oeuvre;Gros Oeuvre;Terrassement fondation manuel;F;494.1;180;
Gros-oeuvre;Gros Oeuvre;Terrassement fondation mur;m3;74.34;60;
Gros-œuvre;Gros Oeuvre;Terrassement fondations avec petit engins;M3;140;60;
Gros-œuvre;Gros Oeuvre;Traitement des joints de dilatations;F;194.4;180;
ELE-001;Electricité;Création,fourniture,pose et raccordement de 6;u;0;60;
POI-001;points lumineux en plafonnier commandé par un;;u;0;60;
INT-001;"interrupteur simple allumage;U;230;";;u;0;60;
ELE-002;Electricité;Création,fourniture,pose et raccordement de;u;0;60;
TRO-001;"trois points lumineux commandé par un interrupteur simple;U;170;";;u;0;60;
ELE-003;Electricité;Création,fourniture,pose et raccordement de trois points lumineux en plafonnier commandé par deux;u;0;60;
INT-002;"interrupteur va et vient;U;200;";;u;0;60;
ELE-004;Electricité;Création,fourniture,pose et raccordement d’une prise;u;0;60;
RJ-001;"RJ45 dépuis le tableau de communication;U;150;";;u;0;60;
ELE-005;Electricité;Création, fourniture, pose et raccordement d'une prise USB/USBC;U;130;120;
ELE-006;Electricité;Forfait dépose et mise en sécurité de l’installation existante;U;200;120;
ELE-007;Electricité;Fourniture et pose d’une gaine en attente pour arrivée fibre;U;150;120;
ELE-008;Electricité;Fourniture et pose d'un radiateur à inertie 1000W;U;273;120;
ELE-009;Electricité;Fourniture et pose d'un sèche serviette électrique;U;260;120;
ELE-010;Electricité;Fourniture et pose d'un tableau 4 rangées;F;2225;180;
ELE-011;Electricité;Fourniture, pose et raccordement de 1 applique;U;195;120;
ELE-012;Electricité;Fourniture, pose et raccordement de 2 points lumineux commandé par 2 interrupteur va et vient;U;312;120;
ELE-013;Electricité;Fourniture, pose et raccordement de 3 points lumineux commandé par 2 interrupteur va et vient;U;338;120;
ELE-014;Electricité;Fourniture, pose et raccordement de  points lumineux commandé par un interrupteur double;U;130;120;
ELE-015;Electricité;Fourniture, pose et raccordement de  points lumineux commandé par un interrupteur va et vient;U;150;120;
ELE-016;Electricité;Fourniture, pose et raccordement de prise de courant 2P +T double;U;169;120;
ELE-017;Electricité;Fourniture, pose et raccordement de prise de courant 2P+T double;U;130;120;
ELE-018;Electricité;Fourniture, pose et raccordement de spots étanche commandé par un interrupteur simple;U;61.43;120;
ELE-019;Electricité;Fourniture, pose et raccordement de spots leds;U;40;120;
ELE-020;Electricité;Fourniture, pose et raccordement d'une prise de courant 2P +T;U;156;120;
ELE-021;Electricité;Fourniture, pose et raccordement d'un point lumineux commandé par prise simple;U;247;120;
ELE-022;Electricité;Fourniture, pose et raccordement d'un point lumineux en applique commandé par un interrupteur simple;U;110;120;
